ts_code,datetime,close,open,high,low,vol,amount
002022.SZ,2026-03-16 13:06:00,6.01,6.0,6.01,6.0,13400.0,80422.0
002022.SZ,2026-03-16 13:07:00,6.0,6.01,6.01,6.0,1500.0,9001.0
002022.SZ,2026-03-16 13:08:00,6.01,6.0,6.01,5.99,16600.0,99602.0
002022.SZ,2026-03-16 13:09:00,5.99,6.0,6.01,5.99,18600.0,111564.0
002022.SZ,2026-03-16 13:10:00,6.0,5.99,6.0,5.99,18100.0,108587.0
002022.SZ,2026-03-16 13:11:00,5.99,5.99,6.0,5.99,11000.0,65984.0
002022.SZ,2026-03-16 13:12:00,5.99,6.0,6.0,5.99,9000.0,53935.0
002022.SZ,2026-03-16 13:13:00,5.99,5.99,5.99,5.99,10000.0,59900.0
002022.SZ,2026-03-16 13:14:00,6.0,6.0,6.0,5.99,8900.0,53364.0
002022.SZ,2026-03-16 13:15:00,5.99,6.0,6.0,5.99,1400.0,8393.0
002022.SZ,2026-03-16 13:16:00,5.99,5.99,5.99,5.99,0.0,0.0
002022.SZ,2026-03-16 13:17:00,6.0,6.0,6.0,6.0,1000.0,6000.0
002022.SZ,2026-03-16 13:18:00,6.0,6.0,6.0,6.0,0.0,0.0
002022.SZ,2026-03-16 13:19:00,5.99,5.99,6.0,5.99,18000.0,107982.0
002022.SZ,2026-03-16 13:20:00,5.99,6.0,6.0,5.99,1100.0,6594.0
002022.SZ,2026-03-16 13:21:00,5.99,5.99,5.99,5.99,0.0,0.0
002022.SZ,2026-03-16 13:22:00,5.99,5.99,5.99,5.99,100.0,599.0
002022.SZ,2026-03-16 13:23:00,6.0,5.99,6.0,5.99,1200.0,7199.0
002022.SZ,2026-03-16 13:24:00,5.99,5.99,5.99,5.99,200.0,1198.0
002022.SZ,2026-03-16 13:25:00,6.0,5.99,6.0,5.99,7500.0,44939.0
002022.SZ,2026-03-16 13:26:00,6.0,5.99,6.0,5.99,15400.0,92384.0
002022.SZ,2026-03-16 13:27:00,5.99,5.99,6.0,5.99,35400.0,212069.0
002022.SZ,2026-03-16 13:28:00,5.98,5.99,5.99,5.98,83300.0,498900.0
002022.SZ,2026-03-16 13:29:00,5.99,5.98,5.99,5.98,1300.0,7783.0
002022.SZ,2026-03-16 13:30:00,5.98,5.98,5.99,5.98,1100.0,6583.0
002022.SZ,2026-03-16 13:31:00,5.98,5.99,5.99,5.98,1400.0,8376.0
002022.SZ,2026-03-16 13:32:00,5.98,5.99,5.99,5.98,5900.0,35321.0
002022.SZ,2026-03-16 13:33:00,5.98,5.98,5.98,5.98,0.0,0.0
002022.SZ,2026-03-16 13:34:00,5.98,5.99,5.99,5.98,21000.0,125640.0
002022.SZ,2026-03-16 13:35:00,5.98,5.99,5.99,5.98,56100.0,335505.0
